"STATISTIC","Statistic","TLIST(D1)","Day","C02199V02655","Sex","UNIT","VALUE"
"RIP02C01","RIP.ie death notices","2020M02D13","2020 February 13","-","Both sexes","Number","88"
"RIP02C01","RIP.ie death notices","2020M02D13","2020 February 13","1","Male","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D13","2020 February 13","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D14","2020 February 14","-","Both sexes","Number","109"
"RIP02C01","RIP.ie death notices","2020M02D14","2020 February 14","1","Male","Number","53"
"RIP02C01","RIP.ie death notices","2020M02D14","2020 February 14","2","Female","Number","56"
"RIP02C01","RIP.ie death notices","2020M02D15","2020 February 15","-","Both sexes","Number","97"
"RIP02C01","RIP.ie death notices","2020M02D15","2020 February 15","1","Male","Number","48"
"RIP02C01","RIP.ie death notices","2020M02D15","2020 February 15","2","Female","Number","49"
"RIP02C01","RIP.ie death notices","2020M02D16","2020 February 16","-","Both sexes","Number","85"
"RIP02C01","RIP.ie death notices","2020M02D16","2020 February 16","1","Male","Number","42"
"RIP02C01","RIP.ie death notices","2020M02D16","2020 February 16","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M02D17","2020 February 17","-","Both sexes","Number","92"
"RIP02C01","RIP.ie death notices","2020M02D17","2020 February 17","1","Male","Number","47"
"RIP02C01","RIP.ie death notices","2020M02D17","2020 February 17","2","Female","Number","45"
"RIP02C01","RIP.ie death notices","2020M02D18","2020 February 18","-","Both sexes","Number","92"
"RIP02C01","RIP.ie death notices","2020M02D18","2020 February 18","1","Male","Number","51"
"RIP02C01","RIP.ie death notices","2020M02D18","2020 February 18","2","Female","Number","41"
"RIP02C01","RIP.ie death notices","2020M02D19","2020 February 19","-","Both sexes","Number","97"
"RIP02C01","RIP.ie death notices","2020M02D19","2020 February 19","1","Male","Number","50"
"RIP02C01","RIP.ie death notices","2020M02D19","2020 February 19","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M02D20","2020 February 20","-","Both sexes","Number","87"
"RIP02C01","RIP.ie death notices","2020M02D20","2020 February 20","1","Male","Number","45"
"RIP02C01","RIP.ie death notices","2020M02D20","2020 February 20","2","Female","Number","42"
"RIP02C01","RIP.ie death notices","2020M02D21","2020 February 21","-","Both sexes","Number","89"
"RIP02C01","RIP.ie death notices","2020M02D21","2020 February 21","1","Male","Number","39"
"RIP02C01","RIP.ie death notices","2020M02D21","2020 February 21","2","Female","Number","50"
"RIP02C01","RIP.ie death notices","2020M02D22","2020 February 22","-","Both sexes","Number","93"
"RIP02C01","RIP.ie death notices","2020M02D22","2020 February 22","1","Male","Number","43"
"RIP02C01","RIP.ie death notices","2020M02D22","2020 February 22","2","Female","Number","50"
"RIP02C01","RIP.ie death notices","2020M02D23","2020 February 23","-","Both sexes","Number","75"
"RIP02C01","RIP.ie death notices","2020M02D23","2020 February 23","1","Male","Number","46"
"RIP02C01","RIP.ie death notices","2020M02D23","2020 February 23","2","Female","Number","29"
"RIP02C01","RIP.ie death notices","2020M02D24","2020 February 24","-","Both sexes","Number","89"
"RIP02C01","RIP.ie death notices","2020M02D24","2020 February 24","1","Male","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D24","2020 February 24","2","Female","Number","45"
"RIP02C01","RIP.ie death notices","2020M02D25","2020 February 25","-","Both sexes","Number","91"
"RIP02C01","RIP.ie death notices","2020M02D25","2020 February 25","1","Male","Number","49"
"RIP02C01","RIP.ie death notices","2020M02D25","2020 February 25","2","Female","Number","42"
"RIP02C01","RIP.ie death notices","2020M02D26","2020 February 26","-","Both sexes","Number","85"
"RIP02C01","RIP.ie death notices","2020M02D26","2020 February 26","1","Male","Number","39"
"RIP02C01","RIP.ie death notices","2020M02D26","2020 February 26","2","Female","Number","46"
"RIP02C01","RIP.ie death notices","2020M02D27","2020 February 27","-","Both sexes","Number","100"
"RIP02C01","RIP.ie death notices","2020M02D27","2020 February 27","1","Male","Number","45"
"RIP02C01","RIP.ie death notices","2020M02D27","2020 February 27","2","Female","Number","55"
"RIP02C01","RIP.ie death notices","2020M02D28","2020 February 28","-","Both sexes","Number","89"
"RIP02C01","RIP.ie death notices","2020M02D28","2020 February 28","1","Male","Number","40"
"RIP02C01","RIP.ie death notices","2020M02D28","2020 February 28","2","Female","Number","49"
"RIP02C01","RIP.ie death notices","2020M02D29","2020 February 29","-","Both sexes","Number","81"
"RIP02C01","RIP.ie death notices","2020M02D29","2020 February 29","1","Male","Number","44"
"RIP02C01","RIP.ie death notices","2020M02D29","2020 February 29","2","Female","Number","37"
"RIP02C01","RIP.ie death notices","2020M03D01","2020 March 01","-","Both sexes","Number","88"
"RIP02C01","RIP.ie death notices","2020M03D01","2020 March 01","1","Male","Number","50"
"RIP02C01","RIP.ie death notices","2020M03D01","2020 March 01","2","Female","Number","38"
"RIP02C01","RIP.ie death notices","2020M03D02","2020 March 02","-","Both sexes","Number","100"
"RIP02C01","RIP.ie death notices","2020M03D02","2020 March 02","1","Male","Number","51"
"RIP02C01","RIP.ie death notices","2020M03D02","2020 March 02","2","Female","Number","49"
"RIP02C01","RIP.ie death notices","2020M03D03","2020 March 03","-","Both sexes","Number","88"
"RIP02C01","RIP.ie death notices","2020M03D03","2020 March 03","1","Male","Number","45"
"RIP02C01","RIP.ie death notices","2020M03D03","2020 March 03","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M03D04","2020 March 04","-","Both sexes","Number","75"
"RIP02C01","RIP.ie death notices","2020M03D04","2020 March 04","1","Male","Number","42"
"RIP02C01","RIP.ie death notices","2020M03D04","2020 March 04","2","Female","Number","33"
"RIP02C01","RIP.ie death notices","2020M03D05","2020 March 05","-","Both sexes","Number","91"
"RIP02C01","RIP.ie death notices","2020M03D05","2020 March 05","1","Male","Number","43"
"RIP02C01","RIP.ie death notices","2020M03D05","2020 March 05","2","Female","Number","48"
"RIP02C01","RIP.ie death notices","2020M03D06","2020 March 06","-","Both sexes","Number","99"
"RIP02C01","RIP.ie death notices","2020M03D06","2020 March 06","1","Male","Number","52"
"RIP02C01","RIP.ie death notices","2020M03D06","2020 March 06","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M03D07","2020 March 07","-","Both sexes","Number","88"
"RIP02C01","RIP.ie death notices","2020M03D07","2020 March 07","1","Male","Number","38"
"RIP02C01","RIP.ie death notices","2020M03D07","2020 March 07","2","Female","Number","50"
"RIP02C01","RIP.ie death notices","2020M03D08","2020 March 08","-","Both sexes","Number","94"
"RIP02C01","RIP.ie death notices","2020M03D08","2020 March 08","1","Male","Number","55"
"RIP02C01","RIP.ie death notices","2020M03D08","2020 March 08","2","Female","Number","39"
"RIP02C01","RIP.ie death notices","2020M03D09","2020 March 09","-","Both sexes","Number","74"
"RIP02C01","RIP.ie death notices","2020M03D09","2020 March 09","1","Male","Number","33"
"RIP02C01","RIP.ie death notices","2020M03D09","2020 March 09","2","Female","Number","41"
"RIP02C01","RIP.ie death notices","2020M03D10","2020 March 10","-","Both sexes","Number","91"
"RIP02C01","RIP.ie death notices","2020M03D10","2020 March 10","1","Male","Number","53"
"RIP02C01","RIP.ie death notices","2020M03D10","2020 March 10","2","Female","Number","38"
"RIP02C01","RIP.ie death notices","2020M03D11","2020 March 11","-","Both sexes","Number","99"
"RIP02C01","RIP.ie death notices","2020M03D11","2020 March 11","1","Male","Number","56"
"RIP02C01","RIP.ie death notices","2020M03D11","2020 March 11","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M03D12","2020 March 12","-","Both sexes","Number","92"
"RIP02C01","RIP.ie death notices","2020M03D12","2020 March 12","1","Male","Number","45"
"RIP02C01","RIP.ie death notices","2020M03D12","2020 March 12","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M03D13","2020 March 13","-","Both sexes","Number","82"
"RIP02C01","RIP.ie death notices","2020M03D13","2020 March 13","1","Male","Number","42"
"RIP02C01","RIP.ie death notices","2020M03D13","2020 March 13","2","Female","Number","40"
"RIP02C01","RIP.ie death notices","2020M03D14","2020 March 14","-","Both sexes","Number","96"
"RIP02C01","RIP.ie death notices","2020M03D14","2020 March 14","1","Male","Number","51"
"RIP02C01","RIP.ie death notices","2020M03D14","2020 March 14","2","Female","Number","45"
"RIP02C01","RIP.ie death notices","2020M03D15","2020 March 15","-","Both sexes","Number","83"
"RIP02C01","RIP.ie death notices","2020M03D15","2020 March 15","1","Male","Number","46"
"RIP02C01","RIP.ie death notices","2020M03D15","2020 March 15","2","Female","Number","37"
"RIP02C01","RIP.ie death notices","2020M03D16","2020 March 16","-","Both sexes","Number","86"
"RIP02C01","RIP.ie death notices","2020M03D16","2020 March 16","1","Male","Number","47"
"RIP02C01","RIP.ie death notices","2020M03D16","2020 March 16","2","Female","Number","39"
"RIP02C01","RIP.ie death notices","2020M03D17","2020 March 17","-","Both sexes","Number","90"
"RIP02C01","RIP.ie death notices","2020M03D17","2020 March 17","1","Male","Number","52"
"RIP02C01","RIP.ie death notices","2020M03D17","2020 March 17","2","Female","Number","38"
"RIP02C01","RIP.ie death notices","2020M03D18","2020 March 18","-","Both sexes","Number","88"
"RIP02C01","RIP.ie death notices","2020M03D18","2020 March 18","1","Male","Number","44"
"RIP02C01","RIP.ie death notices","2020M03D18","2020 March 18","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M03D19","2020 March 19","-","Both sexes","Number","90"
"RIP02C01","RIP.ie death notices","2020M03D19","2020 March 19","1","Male","Number","46"
"RIP02C01","RIP.ie death notices","2020M03D19","2020 March 19","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M03D20","2020 March 20","-","Both sexes","Number","88"
"RIP02C01","RIP.ie death notices","2020M03D20","2020 March 20","1","Male","Number","46"
"RIP02C01","RIP.ie death notices","2020M03D20","2020 March 20","2","Female","Number","42"
"RIP02C01","RIP.ie death notices","2020M03D21","2020 March 21","-","Both sexes","Number","94"
"RIP02C01","RIP.ie death notices","2020M03D21","2020 March 21","1","Male","Number","54"
"RIP02C01","RIP.ie death notices","2020M03D21","2020 March 21","2","Female","Number","40"
"RIP02C01","RIP.ie death notices","2020M03D22","2020 March 22","-","Both sexes","Number","95"
"RIP02C01","RIP.ie death notices","2020M03D22","2020 March 22","1","Male","Number","52"
"RIP02C01","RIP.ie death notices","2020M03D22","2020 March 22","2","Female","Number","43"
"RIP02C01","RIP.ie death notices","2020M03D23","2020 March 23","-","Both sexes","Number","98"
"RIP02C01","RIP.ie death notices","2020M03D23","2020 March 23","1","Male","Number","54"
"RIP02C01","RIP.ie death notices","2020M03D23","2020 March 23","2","Female","Number","44"
"RIP02C01","RIP.ie death notices","2020M03D24","2020 March 24","-","Both sexes","Number","90"
"RIP02C01","RIP.ie death notices","2020M03D24","2020 March 24","1","Male","Number","49"
"RIP02C01","RIP.ie death notices","2020M03D24","2020 March 24","2","Female","Number","41"
"RIP02C01","RIP.ie death notices","2020M03D25","2020 March 25","-","Both sexes","Number","115"
"RIP02C01","RIP.ie death notices","2020M03D25","2020 March 25","1","Male","Number","54"
"RIP02C01","RIP.ie death notices","2020M03D25","2020 March 25","2","Female","Number","61"
"RIP02C01","RIP.ie death notices","2020M03D26","2020 March 26","-","Both sexes","Number","105"
"RIP02C01","RIP.ie death notices","2020M03D26","2020 March 26","1","Male","Number","59"
"RIP02C01","RIP.ie death notices","2020M03D26","2020 March 26","2","Female","Number","46"
"RIP02C01","RIP.ie death notices","2020M03D27","2020 March 27","-","Both sexes","Number","83"
"RIP02C01","RIP.ie death notices","2020M03D27","2020 March 27","1","Male","Number","51"
"RIP02C01","RIP.ie death notices","2020M03D27","2020 March 27","2","Female","Number","32"
"RIP02C01","RIP.ie death notices","2020M03D28","2020 March 28","-","Both sexes","Number","92"
"RIP02C01","RIP.ie death notices","2020M03D28","2020 March 28","1","Male","Number","50"
"RIP02C01","RIP.ie death notices","2020M03D28","2020 March 28","2","Female","Number","42"
"RIP02C01","RIP.ie death notices","2020M03D29","2020 March 29","-","Both sexes","Number","90"
"RIP02C01","RIP.ie death notices","2020M03D29","2020 March 29","1","Male","Number","50"
"RIP02C01","RIP.ie death notices","2020M03D29","2020 March 29","2","Female","Number","40"
"RIP02C01","RIP.ie death notices","2020M03D30","2020 March 30","-","Both sexes","Number","103"
"RIP02C01","RIP.ie death notices","2020M03D30","2020 March 30","1","Male","Number","56"
"RIP02C01","RIP.ie death notices","2020M03D30","2020 March 30","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M03D31","2020 March 31","-","Both sexes","Number","117"
"RIP02C01","RIP.ie death notices","2020M03D31","2020 March 31","1","Male","Number","61"
"RIP02C01","RIP.ie death notices","2020M03D31","2020 March 31","2","Female","Number","56"
"RIP02C01","RIP.ie death notices","2020M04D01","2020 April 01","-","Both sexes","Number","108"
"RIP02C01","RIP.ie death notices","2020M04D01","2020 April 01","1","Male","Number","68"
"RIP02C01","RIP.ie death notices","2020M04D01","2020 April 01","2","Female","Number","40"
"RIP02C01","RIP.ie death notices","2020M04D02","2020 April 02","-","Both sexes","Number","108"
"RIP02C01","RIP.ie death notices","2020M04D02","2020 April 02","1","Male","Number","61"
"RIP02C01","RIP.ie death notices","2020M04D02","2020 April 02","2","Female","Number","47"
"RIP02C01","RIP.ie death notices","2020M04D03","2020 April 03","-","Both sexes","Number","125"
"RIP02C01","RIP.ie death notices","2020M04D03","2020 April 03","1","Male","Number","66"
"RIP02C01","RIP.ie death notices","2020M04D03","2020 April 03","2","Female","Number","59"
"RIP02C01","RIP.ie death notices","2020M04D04","2020 April 04","-","Both sexes","Number","140"
"RIP02C01","RIP.ie death notices","2020M04D04","2020 April 04","1","Male","Number","70"
"RIP02C01","RIP.ie death notices","2020M04D04","2020 April 04","2","Female","Number","70"
"RIP02C01","RIP.ie death notices","2020M04D05","2020 April 05","-","Both sexes","Number","126"
"RIP02C01","RIP.ie death notices","2020M04D05","2020 April 05","1","Male","Number","62"
"RIP02C01","RIP.ie death notices","2020M04D05","2020 April 05","2","Female","Number","64"
"RIP02C01","RIP.ie death notices","2020M04D06","2020 April 06","-","Both sexes","Number","103"
"RIP02C01","RIP.ie death notices","2020M04D06","2020 April 06","1","Male","Number","48"
"RIP02C01","RIP.ie death notices","2020M04D06","2020 April 06","2","Female","Number","55"
"RIP02C01","RIP.ie death notices","2020M04D07","2020 April 07","-","Both sexes","Number","150"
"RIP02C01","RIP.ie death notices","2020M04D07","2020 April 07","1","Male","Number","74"
"RIP02C01","RIP.ie death notices","2020M04D07","2020 April 07","2","Female","Number","76"
"RIP02C01","RIP.ie death notices","2020M04D08","2020 April 08","-","Both sexes","Number","121"
"RIP02C01","RIP.ie death notices","2020M04D08","2020 April 08","1","Male","Number","61"
"RIP02C01","RIP.ie death notices","2020M04D08","2020 April 08","2","Female","Number","60"
"RIP02C01","RIP.ie death notices","2020M04D09","2020 April 09","-","Both sexes","Number","128"
"RIP02C01","RIP.ie death notices","2020M04D09","2020 April 09","1","Male","Number","63"
"RIP02C01","RIP.ie death notices","2020M04D09","2020 April 09","2","Female","Number","65"
"RIP02C01","RIP.ie death notices","2020M04D10","2020 April 10","-","Both sexes","Number","115"
"RIP02C01","RIP.ie death notices","2020M04D10","2020 April 10","1","Male","Number","60"
"RIP02C01","RIP.ie death notices","2020M04D10","2020 April 10","2","Female","Number","55"
"RIP02C01","RIP.ie death notices","2020M04D11","2020 April 11","-","Both sexes","Number","136"
"RIP02C01","RIP.ie death notices","2020M04D11","2020 April 11","1","Male","Number","64"
"RIP02C01","RIP.ie death notices","2020M04D11","2020 April 11","2","Female","Number","72"
"RIP02C01","RIP.ie death notices","2020M04D12","2020 April 12","-","Both sexes","Number","143"
"RIP02C01","RIP.ie death notices","2020M04D12","2020 April 12","1","Male","Number","63"
"RIP02C01","RIP.ie death notices","2020M04D12","2020 April 12","2","Female","Number","80"
"RIP02C01","RIP.ie death notices","2020M04D13","2020 April 13","-","Both sexes","Number","115"
