"STATISTIC","Statistic","TLIST(W1)","Weekly","C02199V02655","Sex","UNIT","VALUE"
"RIP01C01","Average RIP death notices","2020W34","2020W34","1","Male","Number","272"
"RIP01C01","Average RIP death notices","2020W34","2020W34","2","Female","Number","249"
"RIP01C01","Average RIP death notices","2020W35","2020W35","-","Both sexes","Number","537"
"RIP01C01","Average RIP death notices","2020W35","2020W35","1","Male","Number","268"
"RIP01C01","Average RIP death notices","2020W35","2020W35","2","Female","Number","269"
"RIP01C01","Average RIP death notices","2020W36","2020W36","-","Both sexes","Number","532"
"RIP01C01","Average RIP death notices","2020W36","2020W36","1","Male","Number","274"
"RIP01C01","Average RIP death notices","2020W36","2020W36","2","Female","Number","269"
"RIP01C01","Average RIP death notices","2020W37","2020W37","-","Both sexes","Number","592"
"RIP01C01","Average RIP death notices","2020W37","2020W37","1","Male","Number","316"
"RIP01C01","Average RIP death notices","2020W37","2020W37","2","Female","Number","285"
"RIP01C01","Average RIP death notices","2020W38","2020W38","-","Both sexes","Number","503"
"RIP01C01","Average RIP death notices","2020W38","2020W38","1","Male","Number","254"
"RIP01C01","Average RIP death notices","2020W38","2020W38","2","Female","Number","236"
"RIP01C01","Average RIP death notices","2020W39","2020W39","-","Both sexes","Number","530"
"RIP01C01","Average RIP death notices","2020W39","2020W39","1","Male","Number","279"
"RIP01C01","Average RIP death notices","2020W39","2020W39","2","Female","Number","267"
"RIP01C01","Average RIP death notices","2020W40","2020W40","-","Both sexes","Number","615"
"RIP01C01","Average RIP death notices","2020W40","2020W40","1","Male","Number","329"
"RIP01C01","Average RIP death notices","2020W40","2020W40","2","Female","Number","277"
"RIP01C01","Average RIP death notices","2020W41","2020W41","-","Both sexes","Number","593"
"RIP01C01","Average RIP death notices","2020W41","2020W41","1","Male","Number","318"
"RIP01C01","Average RIP death notices","2020W41","2020W41","2","Female","Number","270"
"RIP01C01","Average RIP death notices","2020W42","2020W42","-","Both sexes","Number","591"
"RIP01C01","Average RIP death notices","2020W42","2020W42","1","Male","Number","322"
"RIP01C01","Average RIP death notices","2020W42","2020W42","2","Female","Number","272"
"RIP01C01","Average RIP death notices","2020W43","2020W43","-","Both sexes","Number","621"
"RIP01C01","Average RIP death notices","2020W43","2020W43","1","Male","Number","308"
"RIP01C01","Average RIP death notices","2020W43","2020W43","2","Female","Number","316"
"RIP01C01","Average RIP death notices","2020W44","2020W44","-","Both sexes","Number","637"
"RIP01C01","Average RIP death notices","2020W44","2020W44","1","Male","Number","334"
"RIP01C01","Average RIP death notices","2020W44","2020W44","2","Female","Number","300"
"RIP01C01","Average RIP death notices","2020W45","2020W45","-","Both sexes","Number","567"
"RIP01C01","Average RIP death notices","2020W45","2020W45","1","Male","Number","315"
"RIP01C01","Average RIP death notices","2020W45","2020W45","2","Female","Number","244"
"RIP01C01","Average RIP death notices","2020W46","2020W46","-","Both sexes","Number","618"
"RIP01C01","Average RIP death notices","2020W46","2020W46","1","Male","Number","324"
"RIP01C01","Average RIP death notices","2020W46","2020W46","2","Female","Number","307"
"RIP01C01","Average RIP death notices","2020W47","2020W47","-","Both sexes","Number","570"
"RIP01C01","Average RIP death notices","2020W47","2020W47","1","Male","Number","313"
"RIP01C01","Average RIP death notices","2020W47","2020W47","2","Female","Number","254"
"RIP01C01","Average RIP death notices","2020W48","2020W48","-","Both sexes","Number","574"
"RIP01C01","Average RIP death notices","2020W48","2020W48","1","Male","Number","290"
"RIP01C01","Average RIP death notices","2020W48","2020W48","2","Female","Number","283"
"RIP01C01","Average RIP death notices","2020W49","2020W49","-","Both sexes","Number","603"
"RIP01C01","Average RIP death notices","2020W49","2020W49","1","Male","Number","300"
"RIP01C01","Average RIP death notices","2020W49","2020W49","2","Female","Number","299"
"RIP01C01","Average RIP death notices","2020W50","2020W50","-","Both sexes","Number","596"
"RIP01C01","Average RIP death notices","2020W50","2020W50","1","Male","Number","299"
"RIP01C01","Average RIP death notices","2020W50","2020W50","2","Female","Number","300"
"RIP01C01","Average RIP death notices","2020W51","2020W51","-","Both sexes","Number","614"
"RIP01C01","Average RIP death notices","2020W51","2020W51","1","Male","Number","333"
"RIP01C01","Average RIP death notices","2020W51","2020W51","2","Female","Number","280"
"RIP01C01","Average RIP death notices","2020W52","2020W52","-","Both sexes","Number","628"
"RIP01C01","Average RIP death notices","2020W52","2020W52","1","Male","Number","340"
"RIP01C01","Average RIP death notices","2020W52","2020W52","2","Female","Number","285"
"RIP01C01","Average RIP death notices","2020W53","2020W53","-","Both sexes","Number","672"
"RIP01C01","Average RIP death notices","2020W53","2020W53","1","Male","Number","364"
"RIP01C01","Average RIP death notices","2020W53","2020W53","2","Female","Number","319"
"RIP01C01","Average RIP death notices","2021W01","2021W01","-","Both sexes","Number","789"
"RIP01C01","Average RIP death notices","2021W01","2021W01","1","Male","Number","421"
"RIP01C01","Average RIP death notices","2021W01","2021W01","2","Female","Number","368"
"RIP01C01","Average RIP death notices","2021W02","2021W02","-","Both sexes","Number","906"
"RIP01C01","Average RIP death notices","2021W02","2021W02","1","Male","Number","473"
"RIP01C01","Average RIP death notices","2021W02","2021W02","2","Female","Number","433"
"RIP01C01","Average RIP death notices","2021W03","2021W03","-","Both sexes","Number","975"
"RIP01C01","Average RIP death notices","2021W03","2021W03","1","Male","Number","488"
"RIP01C01","Average RIP death notices","2021W03","2021W03","2","Female","Number","487"
"RIP01C01","Average RIP death notices","2021W04","2021W04","-","Both sexes","Number","971"
"RIP01C01","Average RIP death notices","2021W04","2021W04","1","Male","Number","495"
"RIP01C01","Average RIP death notices","2021W04","2021W04","2","Female","Number","476"
"RIP01C01","Average RIP death notices","2021W05","2021W05","-","Both sexes","Number","890"
"RIP01C01","Average RIP death notices","2021W05","2021W05","1","Male","Number","444"
"RIP01C01","Average RIP death notices","2021W05","2021W05","2","Female","Number","446"
"RIP01C01","Average RIP death notices","2021W06","2021W06","-","Both sexes","Number","834"
"RIP01C01","Average RIP death notices","2021W06","2021W06","1","Male","Number","450"
"RIP01C01","Average RIP death notices","2021W06","2021W06","2","Female","Number","384"
"RIP01C01","Average RIP death notices","2021W07","2021W07","-","Both sexes","Number","752"
"RIP01C01","Average RIP death notices","2021W07","2021W07","1","Male","Number","398"
"RIP01C01","Average RIP death notices","2021W07","2021W07","2","Female","Number","354"
"RIP01C01","Average RIP death notices","2021W08","2021W08","-","Both sexes","Number","671"
"RIP01C01","Average RIP death notices","2021W08","2021W08","1","Male","Number","364"
"RIP01C01","Average RIP death notices","2021W08","2021W08","2","Female","Number","307"
"RIP01C01","Average RIP death notices","2021W09","2021W09","-","Both sexes","Number","625"
"RIP01C01","Average RIP death notices","2021W09","2021W09","1","Male","Number","334"
"RIP01C01","Average RIP death notices","2021W09","2021W09","2","Female","Number","291"
"RIP01C01","Average RIP death notices","2021W10","2021W10","-","Both sexes","Number","582"
"RIP01C01","Average RIP death notices","2021W10","2021W10","1","Male","Number","289"
"RIP01C01","Average RIP death notices","2021W10","2021W10","2","Female","Number","293"
"RIP01C01","Average RIP death notices","2021W11","2021W11","-","Both sexes","Number","571"
"RIP01C01","Average RIP death notices","2021W11","2021W11","1","Male","Number","314"
"RIP01C01","Average RIP death notices","2021W11","2021W11","2","Female","Number","257"
"RIP01C01","Average RIP death notices","2021W12","2021W12","-","Both sexes","Number","586"
"RIP01C01","Average RIP death notices","2021W12","2021W12","1","Male","Number","305"
"RIP01C01","Average RIP death notices","2021W12","2021W12","2","Female","Number","281"
"RIP01C01","Average RIP death notices","2021W13","2021W13","-","Both sexes","Number","622"
"RIP01C01","Average RIP death notices","2021W13","2021W13","1","Male","Number","317"
"RIP01C01","Average RIP death notices","2021W13","2021W13","2","Female","Number","305"
"RIP01C01","Average RIP death notices","2021W14","2021W14","-","Both sexes","Number","567"
"RIP01C01","Average RIP death notices","2021W14","2021W14","1","Male","Number","300"
"RIP01C01","Average RIP death notices","2021W14","2021W14","2","Female","Number","267"
"RIP01C01","Average RIP death notices","2021W15","2021W15","-","Both sexes","Number","591"
"RIP01C01","Average RIP death notices","2021W15","2021W15","1","Male","Number","309"
"RIP01C01","Average RIP death notices","2021W15","2021W15","2","Female","Number","282"
"RIP01C01","Average RIP death notices","2021W16","2021W16","-","Both sexes","Number","589"
"RIP01C01","Average RIP death notices","2021W16","2021W16","1","Male","Number","295"
"RIP01C01","Average RIP death notices","2021W16","2021W16","2","Female","Number","294"
"RIP01C01","Average RIP death notices","2021W17","2021W17","-","Both sexes","Number","591"
"RIP01C01","Average RIP death notices","2021W17","2021W17","1","Male","Number","329"
"RIP01C01","Average RIP death notices","2021W17","2021W17","2","Female","Number","262"
"RIP01C01","Average RIP death notices","2021W18","2021W18","-","Both sexes","Number","630"
"RIP01C01","Average RIP death notices","2021W18","2021W18","1","Male","Number","347"
"RIP01C01","Average RIP death notices","2021W18","2021W18","2","Female","Number","283"
"RIP01C01","Average RIP death notices","2021W19","2021W19","-","Both sexes","Number","583"
"RIP01C01","Average RIP death notices","2021W19","2021W19","1","Male","Number","299"
"RIP01C01","Average RIP death notices","2021W19","2021W19","2","Female","Number","284"
"RIP01C01","Average RIP death notices","2021W20","2021W20","-","Both sexes","Number","562"
"RIP01C01","Average RIP death notices","2021W20","2021W20","1","Male","Number","292"
"RIP01C01","Average RIP death notices","2021W20","2021W20","2","Female","Number","270"
"RIP01C01","Average RIP death notices","2021W21","2021W21","-","Both sexes","Number","602"
"RIP01C01","Average RIP death notices","2021W21","2021W21","1","Male","Number","315"
"RIP01C01","Average RIP death notices","2021W21","2021W21","2","Female","Number","287"
"RIP01C01","Average RIP death notices","2021W22","2021W22","-","Both sexes","Number","567"
"RIP01C01","Average RIP death notices","2021W22","2021W22","1","Male","Number","291"
"RIP01C01","Average RIP death notices","2021W22","2021W22","2","Female","Number","276"
"RIP01C01","Average RIP death notices","2021W23","2021W23","-","Both sexes","Number","550"
"RIP01C01","Average RIP death notices","2021W23","2021W23","1","Male","Number","289"
"RIP01C01","Average RIP death notices","2021W23","2021W23","2","Female","Number","261"
"RIP01C01","Average RIP death notices","2021W24","2021W24","-","Both sexes","Number","502"
"RIP01C01","Average RIP death notices","2021W24","2021W24","1","Male","Number","266"
"RIP01C01","Average RIP death notices","2021W24","2021W24","2","Female","Number","236"
"RIP01C01","Average RIP death notices","2021W25","2021W25","-","Both sexes","Number","513"
"RIP01C01","Average RIP death notices","2021W25","2021W25","1","Male","Number","257"
"RIP01C01","Average RIP death notices","2021W25","2021W25","2","Female","Number","256"
"RIP01C01","Average RIP death notices","2021W26","2021W26","-","Both sexes","Number","580"
"RIP01C01","Average RIP death notices","2021W26","2021W26","1","Male","Number","306"
"RIP01C01","Average RIP death notices","2021W26","2021W26","2","Female","Number","274"
"RIP01C01","Average RIP death notices","2021W27","2021W27","-","Both sexes","Number","510"
"RIP01C01","Average RIP death notices","2021W27","2021W27","1","Male","Number","275"
"RIP01C01","Average RIP death notices","2021W27","2021W27","2","Female","Number","235"
"RIP01C01","Average RIP death notices","2021W28","2021W28","-","Both sexes","Number","579"
"RIP01C01","Average RIP death notices","2021W28","2021W28","1","Male","Number","299"
"RIP01C01","Average RIP death notices","2021W28","2021W28","2","Female","Number","280"
